City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,Azad Shahr,IR,2021-09-24 20:52:50,34.7909,48.5707,62.37,35,0,8.39
185,Pahrump,US,2021-09-24 20:52:50,36.2083,-115.9839,93.43,16,4,3.0
186,Pandan,PH,2021-09-24 20:50:15,14.0453,124.1694,81.07,85,57,6.93
187,Zhanaozen,KZ,2021-09-24 20:52:50,43.3,52.8,60.73,74,10,16.84
188,Blenheim,NZ,2021-09-24 20:52:51,-41.516,173.9528,60.53,63,0,4.0
189,Okha,RU,2021-09-24 20:52:51,53.5739,142.9478,44.1,84,5,6.55
190,Qaqortoq,GL,2021-09-24 20:52:51,60.7167,-46.0333,35.29,50,1,7.2
191,Nadym,RU,2021-09-24 20:51:14,65.5333,72.5167,32.16,85,5,7.11
192,Ostrovnoy,RU,2021-09-24 20:48:10,68.0531,39.5131,48.22,87,100,19.98
193,Baykit,RU,2021-09-24 20:52:51,61.67,96.37,31.5,94,100,2.89
194,Micheweni,TZ,2021-09-24 20:52:52,-4.9667,39.8333,76.37,79,91,12.95
195,Mehamn,NO,2021-09-24 20:48:38,71.0357,27.8492,48.38,76,40,13.8
196,Progreso,MX,2021-09-24 20:52:52,21.2833,-89.6667,90.1,67,70,10.31
197,Caraquet,CA,2021-09-24 20:52:53,47.7941,-64.9386,61.38,95,100,8.19
198,Korla,CN,2021-09-24 20:52:53,41.7597,86.1469,63.57,24,36,16.44
199,Harper,LR,2021-09-24 20:52:53,4.375,-7.7169,78.31,86,47,7.52
200,Havre-Saint-Pierre,CA,2021-09-24 20:52:53,50.2334,-63.5986,53.96,76,90,11.5
201,Mareeba,AU,2021-09-24 20:48:27,-17.0,145.4333,65.48,90,67,2.24
202,Ballina,AU,2021-09-24 20:48:44,-28.8667,153.5667,65.79,100,2,0.0
203,Yar-Sale,RU,2021-09-24 20:52:54,66.8333,70.8333,34.77,84,89,6.17
204,Manavalakurichi,IN,2021-09-24 20:52:54,8.1333,77.3,80.69,85,100,14.29
205,Erzin,TR,2021-09-24 20:52:54,36.9559,36.2,66.0,36,0,2.08
206,Merauke,ID,2021-09-24 20:50:23,-8.4667,140.3333,76.06,90,37,10.65
207,Sioux Lookout,CA,2021-09-24 20:52:54,50.1001,-91.917,55.78,50,90,5.75
208,Rajanpur,PK,2021-09-24 20:52:55,29.1035,70.325,88.03,47,1,3.04
209,Andenes,NO,2021-09-24 20:52:55,69.3143,16.1194,46.08,81,97,3.44
210,Severnyy-Kospashskiy,RU,2021-09-24 20:52:55,59.0925,57.8008,45.61,67,100,3.74
211,Dikson,RU,2021-09-24 20:52:55,73.5069,80.5464,35.6,85,76,16.22
212,Amalfi,CO,2021-09-24 20:52:56,6.9102,-75.0776,68.86,81,99,2.26
213,Plaster Rock,CA,2021-09-24 20:52:56,46.9065,-67.39,73.92,75,74,12.82
214,Berlevag,NO,2021-09-24 20:52:56,70.8578,29.0864,48.15,71,40,5.75
215,Juru,MY,2021-09-24 20:52:57,5.312,100.4423,81.91,93,20,2.3
216,Xichang,CN,2021-09-24 20:52:57,27.8964,102.2634,63.01,91,25,1.7
217,Edd,ER,2021-09-24 20:52:57,13.9297,41.6925,88.83,67,92,2.26
218,Soanierana Ivongo,MG,2021-09-24 20:52:57,-16.9167,49.5833,69.94,92,73,8.03
219,Loandjili,CG,2021-09-24 20:52:58,-4.7561,11.8578,77.11,83,40,5.75
220,Luderitz,NA,2021-09-24 20:52:58,-26.6481,15.1594,60.44,68,10,13.11
221,Longyearbyen,SJ,2021-09-24 20:52:58,78.2186,15.6401,40.84,87,75,2.3
222,Ndioum,SN,2021-09-24 20:52:58,16.5129,-14.6471,93.67,32,62,9.04
223,Madang,PG,2021-09-24 20:52:58,-5.2246,145.7966,77.27,90,80,1.97
224,Gigmoto,PH,2021-09-24 20:52:59,13.7796,124.39,80.56,86,64,6.2
225,Cherskiy,RU,2021-09-24 20:52:59,68.75,161.3,29.5,95,99,10.54
226,Kudahuvadhoo,MV,2021-09-24 20:52:59,2.6708,72.8944,79.72,71,100,7.27
